890962745	20181205	201812	2018	2018.9178											CAN	CANADA	CAN								0	190	190	19	4	-10.0	1	1	1	-5.50550550550551	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205073000	https://www.cnn.com/2019/12/05/world/trump-impeachment-constitution-meanwhile-dec-5/
890962746	20181205	201812	2018	2018.9178	BGDJUD	DHAKA	BGD					JUD			COP	PRISON						COP			1	173	173	17	4	-5.0	8	1	8	-1.99004975124378	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191205073000	https://bdnews24.com/politics/2019/12/05/sc-defers-khaledas-bail-hearing-as-authorities-fail-to-submit-medical-report
890962747	20181205	201812	2018	2018.9178	CAN	CANADA	CAN																		0	190	190	19	4	-10.0	1	1	1	-5.50550550550551	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205073000	https://www.cnn.com/2019/12/05/world/trump-impeachment-constitution-meanwhile-dec-5/
890962748	20181205	201812	2018	2018.9178	GOV	PRESIDENT						GOV													0	180	180	18	4	-9.0	6	1	6	-12.9770992366412	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205073000	https://www.ndtv.com/india-news/nirav-modi-billionaire-jeweller-declared-fugitive-economic-offender-by-special-court-in-mumbai-2143727
890962749	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA								BUS	CHAMBER OF COMMERCE						BUS			1	060	060	06	2	6.0	4	1	4	4.2483660130719	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20191205073000	http://delrionewsherald.com/news/article_65e63a22-16fa-11ea-b22c-8ba8e017241a.html
890962750	20191105	201911	2019	2019.8356	AUS	AUSTRALIA	AUS								CHN	CHINA	CHN								1	120	120	12	3	-4.0	2	1	2	3.91061452513966	1	Australia	AS	AS		-25	135	AS	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20191205073000	http://www.newsonair.com/News?title=Sri-Lankan-Prez-invites-Indian-companies-for-investment-in-the-country&id=375642
890962751	20191105	201911	2019	2019.8356	AUS	AUSTRALIA	AUS								CHN	CHINA	CHN								1	120	120	12	3	-4.0	1	1	1	3.91061452513966	1	Japan	JA	JA		36	138	JA	1	China	CH	CH		35	105	CH	1	Australia	AS	AS		-25	135	AS	20191205073000	http://www.newsonair.com/News?title=Sri-Lankan-Prez-invites-Indian-companies-for-investment-in-the-country&id=375642
890962752	20191105	201911	2019	2019.8356	GOV	SECURITY COUNCIL						GOV			RUSGOV	RUSSIAN	RUS					GOV			1	040	040	04	1	1.0	2	1	2	-0.87424344317418	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205073000	https://www.cnbc.com/2019/12/05/nato-in-space-putin-is-worried-about-the-militarization-of-space.html
890962753	20191105	201911	2019	2019.8356	JPN	JAPAN	JPN								CHN	CHINA	CHN								1	120	120	12	3	-4.0	3	1	3	3.91061452513966	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20191205073000	http://www.newsonair.com/News?title=Sri-Lankan-Prez-invites-Indian-companies-for-investment-in-the-country&id=375642
890962754	20191105	201911	2019	2019.8356	JUD	MAGISTRATE						JUD													1	120	120	12	3	-4.0	20	1	20	-8.09597022171874	4	Wandsworth, Wandsworth, United Kingdom	UK	UKP1	40133	51.45	-0.2	-2610857	0								4	Wandsworth, Wandsworth, United Kingdom	UK	UKP1	40133	51.45	-0.2	-2610857	20191205073000	http://articles.economictimes.indiatimes.com/news/politics-and-nation/pnb-fraud-pmla-court-declares-nirav-modi-as-fugitive-economic-offender/articleshow/72379898.cms
890962755	20191105	201911	2019	2019.8356	RUS	RUSSIAN	RUS								IGOWSTNAT	NATO	WST	NAT				IGO			1	012	012	01	1	-0.4	2	1	2	-0.87424344317418	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205073000	https://www.cnbc.com/2019/12/05/nato-in-space-putin-is-worried-about-the-militarization-of-space.html
890962756	20191105	201911	2019	2019.8356	RUS	RUSSIAN	RUS								IGOWSTNAT	NATO	WST	NAT				IGO			1	012	012	01	1	-0.4	2	1	2	-0.87424344317418	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	20191205073000	https://www.cnbc.com/2019/12/05/nato-in-space-putin-is-worried-about-the-militarization-of-space.html
890962757	20191105	201911	2019	2019.8356	RUSGOV	RUSSIAN	RUS					GOV			GOV	SECURITY COUNCIL						GOV			1	040	040	04	1	1.0	2	1	2	-0.87424344317418	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205073000	https://www.cnbc.com/2019/12/05/nato-in-space-putin-is-worried-about-the-militarization-of-space.html
890962758	20191105	201911	2019	2019.8356	RUSGOV	RUSSIAN	RUS					GOV			IGOWSTNAT	NATO	WST	NAT				IGO			1	012	012	01	1	-0.4	6	1	6	-0.87424344317418	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205073000	https://www.cnbc.com/2019/12/05/nato-in-space-putin-is-worried-about-the-militarization-of-space.html
