891089266	20181205	201812	2018	2018.9178											USA	NEW YORK CITY	USA								1	036	036	03	1	4.0	10	1	10	0.716845878136199	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	20191205190000	https://www.boutiquedesign.com/collective-to-expand-co-living/
891089267	20181205	201812	2018	2018.9178	AFR	AFRICA	AFR								CVL	SCIENTIST						CVL			1	036	036	03	1	4.0	4	1	4	1.21049092131809	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20191205190000	https://www.geekwire.com/2019/sue-desmond-hellmann/
891089268	20181205	201812	2018	2018.9178	BUS	BANK						BUS													0	073	073	07	2	7.4	10	1	10	4.59016393442623	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	0								2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	20191205190000	http://cranstononline.com/stories/food-bank-open-house-is-saturday-food-donation-requested-of-visitors,147815
891089269	20181205	201812	2018	2018.9178	CVL	SCIENTIST						CVL			AFR	AFRICA	AFR								1	036	036	03	1	4.0	4	1	4	1.21049092131809	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20191205190000	https://www.geekwire.com/2019/sue-desmond-hellmann/
891089270	20181205	201812	2018	2018.9178	CVL	SCIENTIST						CVL			HLH	PHYSICIAN						HLH			1	173	173	17	4	-5.0	10	1	10	1.21049092131809	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20191205190000	https://www.geekwire.com/2019/sue-desmond-hellmann/
891089271	20181205	201812	2018	2018.9178	CVL	SCIENTIST						CVL			NGOUSA	GATES FOUNDATION	USA					NGO			1	036	036	03	1	4.0	6	1	6	1.21049092131809	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20191205190000	https://www.geekwire.com/2019/sue-desmond-hellmann/
891089272	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	MOSCOW	RUS								1	112	112	11	3	-2.0	2	1	2	-7.08215297450425	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205190000	https://www.courthousenews.com/germany-expels-russian-diplomats-for-berlin-assassination/
891089273	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	RUSSIA	RUS								1	1123	112	11	3	-2.0	2	1	2	-7.08215297450425	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20191205190000	https://www.courthousenews.com/germany-expels-russian-diplomats-for-berlin-assassination/
891089274	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								RUS	RUSSIA	RUS								1	1123	112	11	3	-2.0	4	1	4	-7.08215297450425	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	United States	US	US		39.828175	-98.5795	US	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205190000	https://www.courthousenews.com/germany-expels-russian-diplomats-for-berlin-assassination/
891089275	20181205	201812	2018	2018.9178	DEU	GERMANY	DEU								ZWE	SALISBURY	ZWE								1	090	090	09	2	-2.0	2	1	2	-7.08215297450425	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205190000	https://www.courthousenews.com/germany-expels-russian-diplomats-for-berlin-assassination/
