891131375	20181205	201812	2018	2018.9178											IGOUNOKID	UNICEF		UNO				IGO			1	1124	112	11	3	-2.0	5	1	5	-2.95566502463055	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20191205231500	https://www.thejournal.ie/majority-of-measlies-deaths-were-under-5-years-olf-4920312-Dec2019/
891131376	20181205	201812	2018	2018.9178											NZL	NEW ZEALAND	NZL								1	043	043	04	1	2.8	6	1	6	1.02564102564103	0								4	Dannevirke, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.2	176.117	-1508730	4	Dannevirke, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.2	176.117	-1508730	20191205231500	https://times-age.co.nz/blackface-lambs-sell-well/
891131377	20181205	201812	2018	2018.9178											NZL	NEW ZEALAND	NZL								1	043	043	04	1	2.8	4	1	4	1.02564102564103	0								4	Manawatu, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.3333	175.333	-1512919	4	Manawatu, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.3333	175.333	-1512919	20191205231500	https://times-age.co.nz/blackface-lambs-sell-well/
891131378	20181205	201812	2018	2018.9178	CHN	CHINA	CHN								LEG	LAWMAKER						LEG			1	010	010	01	1	0.0	4	1	4	0	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	20191205231500	https://www.ndtv.com/world-news/chinas-defence-budget-increases-850-over-20-years-pentagon-official-2144173
891131379	20181205	201812	2018	2018.9178	CHRCTHLEG	CATHOLIC				CHR	CTH	LEG			USA	PITTSBURGH	USA								0	013	013	01	1	0.4	12	1	12	-0.29197142516154	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20191205231500	https://www.pittsburghcatholic.org/news/symposium-explores-power-of-prayersymposium-explores-power-of-prayer-african-american-spirituality-71001265?profile=1045
891131380	20181205	201812	2018	2018.9178	GOV	ADMINISTRATION						GOV			CHN	CHINA	CHN								0	010	010	01	1	0.0	2	1	2	-2.67639902676399	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	United Kingdom	UK	UK		54	-4	UK	20191205231500	https://www.heraldscotland.com/news/18083523.boris-johnson-calls-jeremy-corbyn-drop-plan-fiddle-second-eu-referendum-including-2m-eu-voters/
891131381	20181205	201812	2018	2018.9178	NZL	NEW ZEALAND	NZL																		1	042	042	04	1	1.9	6	1	6	1.02564102564103	4	Dannevirke, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.2	176.117	-1508730	0								4	Dannevirke, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.2	176.117	-1508730	20191205231500	https://times-age.co.nz/blackface-lambs-sell-well/
891131382	20181205	201812	2018	2018.9178	NZL	NEW ZEALAND	NZL																		1	042	042	04	1	1.9	4	1	4	1.02564102564103	4	Manawatu, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.3333	175.333	-1512919	0								4	Manawatu, New Zealand (general), New Zealand	NZ	NZ00	22390	-40.3333	175.333	-1512919	20191205231500	https://times-age.co.nz/blackface-lambs-sell-well/
891131383	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA																		1	015	015	01	1	0.0	6	1	6	-2.45098039215687	3	Queens, New York, United States	US	USNY	NY081	40.7498	-73.7976	971983	0								3	Queens, New York, United States	US	USNY	NY081	40.7498	-73.7976	971983	20191205231500	https://www.timesunion.com/news/article/Queens-man-pleads-guilty-to-trafficking-heroin-14885481.php
891131384	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA								CHRCTHLEG	CATHOLIC				CHR	CTH	LEG			0	013	013	01	1	0.4	8	1	8	-0.29197142516154	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20191205231500	https://www.pittsburghcatholic.org/news/symposium-explores-power-of-prayersymposium-explores-power-of-prayer-african-american-spirituality-71001265?profile=1045
891131385	20181205	201812	2018	2018.9178	USAGOV	HENRIETTA FORE	USA					GOV			IGOUNOKID	UNICEF		UNO				IGO			1	1124	112	11	3	-2.0	5	1	5	-2.95566502463055	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20191205231500	https://www.thejournal.ie/majority-of-measlies-deaths-were-under-5-years-olf-4920312-Dec2019/
891131386	20191105	201911	2019	2019.8356	LAB	EMPLOYEE						LAB			CHN	CHINESE	CHN								0	010	010	01	1	0.0	2	1	2	-3.4020618556701	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	20191205231500	https://www.washingtonpost.com/technology/2019/12/05/tiktok-leader-schedules-washington-trip-meet-with-lawmakers-investigations-loom/
891131387	20191105	201911	2019	2019.8356	LAB	EMPLOYEE						LAB			CHN	CHINESE	CHN								0	010	010	01	1	0.0	2	1	2	-3.4020618556701	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205231500	https://www.washingtonpost.com/technology/2019/12/05/tiktok-leader-schedules-washington-trip-meet-with-lawmakers-investigations-loom/
891131388	20191105	201911	2019	2019.8356	LAB	EMPLOYEE						LAB			CHNGOV	CHINESE	CHN					GOV			0	010	010	01	1	0.0	6	1	6	-3.4020618556701	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205231500	https://www.washingtonpost.com/technology/2019/12/05/tiktok-leader-schedules-washington-trip-meet-with-lawmakers-investigations-loom/
891131389	20191128	201911	2019	2019.8986											AUS	SYDNEY	AUS								1	042	042	04	1	1.9	8	1	8	1.35135135135135	0								4	Eagle Farm, Queensland, Australia	AS	AS04	154654	-27.4278	153.05	332736	4	Toowoomba, Queensland, Australia	AS	AS04	154695	-27.5606	151.954	-1605321	20191205231500	https://www.thechronicle.com.au/news/xmas-cup-call-for-fighting-teo-next-week/3895898/
891131390	20191128	201911	2019	2019.8986											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	4	1	4	1.87793427230047	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	20191205231500	https://www.bbc.co.uk/news/uk-england-northamptonshire-50681280
