891018534	20181205	201812	2018	2018.9178	AFG	AFGHANISTAN	AFG																		1	172	172	17	4	-5.0	4	1	4	1.81451612903225	1	Afghanistan	AF	AF		33	66	AF	0								1	Afghanistan	AF	AF		33	66	AF	20191205130000	https://www.njherald.com/news/20191205/cookies-for-troops-bakes-up-record
891018535	20181205	201812	2018	2018.9178	AFR	AFRICA	AFR								GBR	LONDON	GBR								1	043	043	04	1	2.8	6	1	6	-9.3939393939394	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	20191205130000	https://www.basingstokegazette.co.uk/news/18081741.boozy-mum-admits-assaulting-ba-cabin-crew/
891018536	20181205	201812	2018	2018.9178	AUS	AUSTRALIAN	AUS								CHN	CHINA	CHN								1	013	013	01	1	0.4	1	1	1	2.8391167192429	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20191205130000	https://news.yahoo.com/australian-enterprises-hope-high-third-122000789.html
891018537	20181205	201812	2018	2018.9178	AUS	AUSTRALIAN	AUS								CHN	CHINA	CHN								1	013	013	01	1	0.4	1	1	1	2.8391167192429	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20191205130000	https://news.yahoo.com/australian-enterprises-hope-high-third-122000789.html
891018538	20181205	201812	2018	2018.9178	BHS	BAHAMA	BHS								IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	111	111	11	3	-2.0	1	1	1	-4.73036896877956	1	Bahamas, The	BF	BF		24	-76	BF	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Bahamas, The	BF	BF		24	-76	BF	20191205130000	http://www.tribune242.com/news/2019/dec/05/turnquest-fury-over-frances-disgusting-sudden-blac/
891018539	20181205	201812	2018	2018.9178	BHS	BAHAMA	BHS								IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	111	111	11	3	-2.0	5	1	5	-4.73036896877956	1	Bahamas, The	BF	BF		24	-76	BF	1	Bahamas, The	BF	BF		24	-76	BF	1	Bahamas, The	BF	BF		24	-76	BF	20191205130000	http://www.tribune242.com/news/2019/dec/05/turnquest-fury-over-frances-disgusting-sudden-blac/
891018540	20181205	201812	2018	2018.9178	BUS	INVESTOR						BUS			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	4	1	4	-0.87463556851312	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205130000	https://www.jpost.com/HEALTH-SCIENCE/Israeli-startup-to-process-blood-test-in-ten-minutes-cleared-by-US-FDA-609971
891018541	20181205	201812	2018	2018.9178	CAN	CANADIAN	CAN								MED	BLOGGER						MED			0	043	043	04	1	2.8	2	1	2	2.97029702970297	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	1	Canada	CA	CA		60	-96	CA	20191205130000	https://www.thenewsminute.com/article/meet-hyderabad-man-whose-food-reviews-gastronomes-city-swear-113523
891018542	20181205	201812	2018	2018.9178	CAN	CANADIAN	CAN								MED	BLOGGER						MED			0	043	043	04	1	2.8	2	1	2	2.97029702970297	1	Canada	CA	CA		60	-96	CA	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20191205130000	https://www.thenewsminute.com/article/meet-hyderabad-man-whose-food-reviews-gastronomes-city-swear-113523
891018543	20181205	201812	2018	2018.9178	CAN	CANADIAN	CAN								MED	BLOGGER						MED			0	043	043	04	1	2.8	6	1	6	2.97029702970297	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20191205130000	https://www.thenewsminute.com/article/meet-hyderabad-man-whose-food-reviews-gastronomes-city-swear-113523
891018544	20181205	201812	2018	2018.9178	FRA	FRANCE	FRA								BHS	BAHAMA	BHS								1	111	111	11	3	-2.0	1	1	1	-4.73036896877956	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20191205130000	http://www.tribune242.com/news/2019/dec/05/turnquest-fury-over-frances-disgusting-sudden-blac/
891018545	20181205	201812	2018	2018.9178	FRA	FRANCE	FRA								BHS	BAHAMA	BHS								1	111	111	11	3	-2.0	3	1	3	-4.73036896877956	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Bahamas, The	BF	BF		24	-76	BF	1	Bahamas, The	BF	BF		24	-76	BF	20191205130000	http://www.tribune242.com/news/2019/dec/05/turnquest-fury-over-frances-disgusting-sudden-blac/
891018546	20181205	201812	2018	2018.9178	GBR	LONDON	GBR																		1	180	180	18	4	-9.0	10	1	10	-9.3939393939394	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20191205130000	https://www.basingstokegazette.co.uk/news/18081741.boozy-mum-admits-assaulting-ba-cabin-crew/
891018547	20181205	201812	2018	2018.9178	GBR	LONDON	GBR								AFR	AFRICA	AFR								1	042	042	04	1	1.9	6	1	6	-9.3939393939394	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	20191205130000	https://www.basingstokegazette.co.uk/news/18081741.boozy-mum-admits-assaulting-ba-cabin-crew/
