890930448	20181205	201812	2018	2018.9178											JAM	JAMAICA	JAM								0	080	080	08	2	5.0	40	4	40	-7.51879699248121	0								1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20191205033000	https://www.estevanmercury.ca/alberta-women-guilty-of-animal-abuse-charges-banned-from-owning-dogs-1.24027960
890930449	20181205	201812	2018	2018.9178	CAN	MANITOBA	CAN								JAM	JAMAICA	JAM								0	173	173	17	4	-5.0	40	4	40	-7.51879699248121	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20191205033000	https://www.estevanmercury.ca/alberta-women-guilty-of-animal-abuse-charges-banned-from-owning-dogs-1.24027960
890930450	20181205	201812	2018	2018.9178	EDU	SCHOOL						EDU			EDUEDU	SCHOOL						EDU	EDU		0	040	040	04	1	1.0	5	1	5	1.50812064965198	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20191205033000	https://www.martlet.ca/campus-club-helping-female-students-in-male-dominated-stem-fields/
890930451	20181205	201812	2018	2018.9178	EDU	SCHOOL						EDU			EDUEDU	SCHOOL						EDU	EDU		0	046	046	04	1	7.0	5	1	5	1.50812064965198	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20191205033000	https://www.martlet.ca/campus-club-helping-female-students-in-male-dominated-stem-fields/
890930452	20181205	201812	2018	2018.9178	EDUEDU	SCHOOL						EDU	EDU		EDU	SCHOOL						EDU			0	040	040	04	1	1.0	5	1	5	1.50812064965198	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20191205033000	https://www.martlet.ca/campus-club-helping-female-students-in-male-dominated-stem-fields/
890930453	20181205	201812	2018	2018.9178	EDUEDU	SCHOOL						EDU	EDU		EDU	SCHOOL						EDU			0	046	046	04	1	7.0	5	1	5	1.50812064965198	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20191205033000	https://www.martlet.ca/campus-club-helping-female-students-in-male-dominated-stem-fields/
890930454	20181205	201812	2018	2018.9178	IDN	INDONESIAN	IDN								IDNBUS	INDONESIA	IDN					BUS			1	061	061	06	2	6.4	4	1	4	-2.63565891472868	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20191205033000	https://www.bangkokpost.com/opinion/opinion/1809064/finding-a-balance-in-fisheries-war
890930455	20181205	201812	2018	2018.9178	IDN	INDONESIAN	IDN								IDNBUS	INDONESIA	IDN					BUS			1	084	084	08	2	7.0	4	1	4	-2.63565891472868	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20191205033000	https://www.bangkokpost.com/opinion/opinion/1809064/finding-a-balance-in-fisheries-war
890930456	20181205	201812	2018	2018.9178	IDNBUS	INDONESIAN	IDN					BUS			IDN	INDONESIAN	IDN								1	061	061	06	2	6.4	6	1	6	-2.63565891472868	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20191205033000	https://www.bangkokpost.com/opinion/opinion/1809064/finding-a-balance-in-fisheries-war
890930457	20181205	201812	2018	2018.9178	IDNBUS	INDONESIAN	IDN					BUS			IDN	INDONESIAN	IDN								1	084	084	08	2	7.0	6	1	6	-2.63565891472868	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20191205033000	https://www.bangkokpost.com/opinion/opinion/1809064/finding-a-balance-in-fisheries-war
