890950623	20091207	200912	2009	2009.9233	USA	VIRGINIA	USA																		1	114	114	11	3	-2.0	10	1	10	-2.65324794144557	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20191205061500	https://www.roanoke.com/opinion/editorials/editorial-will-democrats-be-tempted-to-embrace-gerrymandering/article_003168b3-ebb8-587e-8117-6ef9e844ffd3.html
890950624	20181205	201812	2018	2018.9178	EDU	PUPIL						EDU													1	190	190	19	4	-10.0	10	1	10	-1.25786163522012	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20191205061500	https://www.independent.ie/irish-news/education/rules-force-young-pupils-to-suffer-the-squeeze-in-class-38755876.html
890950625	20181205	201812	2018	2018.9178	LEG	SENATE						LEG													0	084	084	08	2	7.0	2	1	2	-3.57306459001375	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20191205061500	https://abc17news.com/news/politics/national-politics/2019/12/04/a-battle-of-attrition-it-was-a-busy-day-in-impeachment-politics/
890950626	20181205	201812	2018	2018.9178	LEG	SENATE						LEG													0	084	084	08	2	7.0	3	1	3	-3.57306459001375	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20191205061500	https://abc17news.com/news/politics/national-politics/2019/12/04/a-battle-of-attrition-it-was-a-busy-day-in-impeachment-politics/
890950627	20181205	201812	2018	2018.9178	LEG	SENATE						LEG			USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	1	2	-3.57306459001375	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20191205061500	https://abc17news.com/news/politics/national-politics/2019/12/04/a-battle-of-attrition-it-was-a-busy-day-in-impeachment-politics/
890950628	20181205	201812	2018	2018.9178	LEG	SENATE						LEG			USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	1	2	-3.57306459001375	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20191205061500	https://abc17news.com/news/politics/national-politics/2019/12/04/a-battle-of-attrition-it-was-a-busy-day-in-impeachment-politics/
890950629	20181205	201812	2018	2018.9178	MIL	NATIONAL GUARD						MIL													0	141	141	14	3	-6.5	10	1	10	-1.03761348897535	3	Ventura County, California, United States	US	USCA	CA111	34.4667	-119.018	277320	0								3	Ventura County, California, United States	US	USCA		34.4667	-119.018	277320	20191205061500	https://vcreporter.com/2019/12/oxnard-to-get-new-homeless-shelter-city-council-approves-five-year-lease/
890950630	20181205	201812	2018	2018.9178	PHL	PHILIPPINE	PHL								BUS	COMPANY						BUS			1	061	061	06	2	6.4	5	1	5	-4.46096654275093	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20191205061500	https://yicaiglobal.com/news/new-hope-invests-usd13-billion-to-build-nine-pig-farms-one-in-the-philippines
890950631	20191105	201911	2019	2019.8356											NPL	NEPAL	NPL								1	036	036	03	1	4.0	6	1	6	0.863930885529161	0								4	Biratnagar, Nepal (general), Nepal	NP	NP00	70094	26.4694	87.2842	-1021784	4	Biratnagar, Nepal (general), Nepal	NP	NP00	70094	26.4694	87.2842	-1021784	20191205061500	https://thehimalayantimes.com/business/biratnagar-icp-to-come-into-operation-soon/
890950632	20191105	201911	2019	2019.8356	NPL	NEPAL	NPL																		1	036	036	03	1	4.0	5	1	5	0.863930885529161	4	Birgunj, Nepal (general), Nepal	NP	NP00	17620	27.0104	84.8773	-1021785	0								4	Birgunj, Nepal (general), Nepal	NP	NP00	17620	27.0104	84.8773	-1021785	20191205061500	https://thehimalayantimes.com/business/biratnagar-icp-to-come-into-operation-soon/
890950633	20191105	201911	2019	2019.8356	NPL	NEPAL	NPL																		1	036	036	03	1	4.0	1	1	1	0.863930885529161	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20191205061500	https://thehimalayantimes.com/business/biratnagar-icp-to-come-into-operation-soon/
890950634	20191105	201911	2019	2019.8356	REB	REBEL						REB													1	110	110	11	3	-2.0	10	2	10	-2.09006853743696	0								0								0								20191205061500	https://www.ndtv.com/karnataka-news/bjp-bets-on-defectors-as-karnataka-votes-for-bypolls-10-points-2143634
890950635	20191128	201911	2019	2019.8986	AUS	AUSTRALIA	AUS								EDU	UNIVERSITY						EDU			1	017	017	01	1	0.0	4	1	4	2.60707635009311	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20191205061500	https://www.sunshinecoastdaily.com.au/news/tom-hanks-praises-coast-dog-saving-koalas-from-bus/3895433/
890950636	20191128	201911	2019	2019.8986	CHN	CHINA	CHN								OPP	DEMOCRACY ACTIVIST						OPP			0	051	051	05	1	3.4	2	1	2	-5.26315789473684	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	20191205061500	https://www.globalsecurity.org/wmd/library/news/china/2019/china-191204-voa01.htm
890950637	20191128	201911	2019	2019.8986	CHN	CHINA	CHN								OPP	DEMOCRACY ACTIVIST						OPP			0	051	051	05	1	3.4	2	1	2	-5.26315789473684	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	1	Hong Kong	HK	HK		22.25	114.166667	HK	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	20191205061500	https://www.globalsecurity.org/wmd/library/news/china/2019/china-191204-voa01.htm
890950638	20191128	201911	2019	2019.8986	CHN	CHINA	CHN								OPP	DEMOCRACY ACTIVIST						OPP			0	051	051	05	1	3.4	6	1	6	-5.26315789473684	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20191205061500	https://www.globalsecurity.org/wmd/library/news/china/2019/china-191204-voa01.htm
890950639	20191128	201911	2019	2019.8986	CHNGOV	CHINA	CHN					GOV			OPP	DEMOCRACY ACTIVIST						OPP			0	051	051	05	1	3.4	2	1	2	-5.26315789473684	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	20191205061500	https://www.globalsecurity.org/wmd/library/news/china/2019/china-191204-voa01.htm
890950640	20191128	201911	2019	2019.8986	EDU	UNIVERSITY						EDU													1	017	017	01	1	0.0	2	1	2	2.60707635009311	4	Sippy Downs, Queensland, Australia	AS	AS04	154693	-26.7179	153.055	11430695	0								4	Sippy Downs, Queensland, Australia	AS	AS04	154693	-26.7179	153.055	11430695	20191205061500	https://www.sunshinecoastdaily.com.au/news/tom-hanks-praises-coast-dog-saving-koalas-from-bus/3895433/
890950641	20191128	201911	2019	2019.8986	EDU	UNIVERSITY						EDU			AUS	AUSTRALIA	AUS								1	017	017	01	1	0.0	4	1	4	2.60707635009311	4	Sippy Downs, Queensland, Australia	AS	AS04	154693	-26.7179	153.055	11430695	4	Sippy Downs, Queensland, Australia	AS	AS04	154693	-26.7179	153.055	11430695	4	Sippy Downs, Queensland, Australia	AS	AS04	154693	-26.7179	153.055	11430695	20191205061500	https://www.sunshinecoastdaily.com.au/news/tom-hanks-praises-coast-dog-saving-koalas-from-bus/3895433/
890950642	20191128	201911	2019	2019.8986	GOV	SECRETARY OF STATE						GOV			EUR	EUROPEAN	EUR								0	010	010	01	1	0.0	1	1	1	-3.7567084078712	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205061500	https://www.thestar.com/news/world/africa/2019/12/05/libyan-officials-collect-evidence-of-russian-fighters-in-war.html
890950643	20191128	201911	2019	2019.8986	GOV	SECRETARY OF STATE						GOV			EUR	EUROPEAN	EUR								0	010	010	01	1	0.0	5	5	5	-4.35850727387729	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	20191205061500	http://www.startribune.com/libyan-officials-collect-evidence-of-russian-fighters-in-war/565822362/
890950644	20191128	201911	2019	2019.8986	GOV	SECRETARY OF STATE						GOV			EUR	EUROPEAN	EUR								0	010	010	01	1	0.0	6	6	6	-4.25820746287628	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	20191205061500	http://www.startribune.com/libyan-officials-collect-evidence-of-russian-fighters-in-war/565822362/
890950645	20191128	201911	2019	2019.8986	GOV	PRESIDENT						GOV			OPP	DEMOCRACY ACTIVIST						OPP			0	051	051	05	1	3.4	6	1	6	-5.26315789473684	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20191205061500	https://www.globalsecurity.org/wmd/library/news/china/2019/china-191204-voa01.htm
890950646	20191128	201911	2019	2019.8986	GOV	SECRETARY OF STATE						GOV			RUS	RUSSIAN	RUS								0	163	163	16	4	-8.0	6	6	6	-4.25820746287628	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20191205061500	http://www.startribune.com/libyan-officials-collect-evidence-of-russian-fighters-in-war/565822362/
890950647	20191128	201911	2019	2019.8986	GOV	SECRETARY OF STATE						GOV			RUS	RUSSIAN	RUS								0	163	163	16	4	-8.0	6	6	6	-4.25820746287628	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	20191205061500	http://www.startribune.com/libyan-officials-collect-evidence-of-russian-fighters-in-war/565822362/
890950648	20191128	201911	2019	2019.8986	IND	NEW DELHI	IND								JUD	SUPREME COURT						JUD			1	035	035	03	1	7.0	1	1	1	0.47619047619047	5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	4	Sabarimala, Kerala, India	IN	IN13	17706	9.43333	77.0833	-2109677	20191205061500	https://www.orissapost.com/another-kerala-woman-moves-sc-after-being-stopped-from-entering-sabarimala/
