890958016	20181205	201812	2018	2018.9178	FRA	FRENCH	FRA								GBR	BRITISH	GBR								1	036	036	03	1	4.0	1	1	1	-3.22580645161291	1	France	FR	FR		46	2	FR	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	France	FR	FR		46	2	FR	20191205070000	https://www.yenisafak.com/en/news/macron-says-european-leaders-to-meet-again-with-erdogan-3506666
890958017	20181205	201812	2018	2018.9178	FRA	FRENCH	FRA								SYR	SYRIA	SYR								1	036	036	03	1	4.0	2	1	2	-3.22580645161291	1	France	FR	FR		46	2	FR	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20191205070000	https://www.yenisafak.com/en/news/macron-says-european-leaders-to-meet-again-with-erdogan-3506666
890958018	20181205	201812	2018	2018.9178	FRA	FRENCH	FRA								TUR	TURKISH	TUR								1	046	046	04	1	7.0	1	1	1	-3.22580645161291	1	France	FR	FR		46	2	FR	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20191205070000	https://www.yenisafak.com/en/news/macron-says-european-leaders-to-meet-again-with-erdogan-3506666
890958019	20181205	201812	2018	2018.9178	FRA	FRENCH	FRA								TUR	TURKISH	TUR								1	046	046	04	1	7.0	1	1	1	-3.22580645161291	1	France	FR	FR		46	2	FR	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20191205070000	https://www.yenisafak.com/en/news/macron-says-european-leaders-to-meet-again-with-erdogan-3506666
890958020	20181205	201812	2018	2018.9178	JUD	DISTRICT COURT						JUD													0	080	080	08	2	5.0	6	1	6	-10.6109324758842	3	Pima County, Arizona, United States	US	USAZ	AZ019	32.0004	-112.003	25446	0								3	Pima County, Arizona, United States	US	USAZ		32.0004	-112.003	25446	20191205070000	http://www.tucsonsentinel.com/local/report/120419_death_row_overturned/az-death-sentence-overturned-defense-lawyers-dropped-ball-1994-trial/
890958021	20181205	201812	2018	2018.9178	JUD	DISTRICT COURT						JUD													0	080	080	08	2	5.0	4	1	4	-10.6109324758842	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20191205070000	http://www.tucsonsentinel.com/local/report/120419_death_row_overturned/az-death-sentence-overturned-defense-lawyers-dropped-ball-1994-trial/
890958022	20181205	201812	2018	2018.9178	TUR	TURKISH	TUR								FRA	FRENCH	FRA								1	046	046	04	1	7.0	1	1	1	-3.22580645161291	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	1	France	FR	FR		46	2	FR	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20191205070000	https://www.yenisafak.com/en/news/macron-says-european-leaders-to-meet-again-with-erdogan-3506666
890958023	20181205	201812	2018	2018.9178	TUR	TURKISH	TUR								FRA	FRENCH	FRA								1	046	046	04	1	7.0	1	1	1	-3.22580645161291	1	Germany	GM	GM		51.5	10.5	GM	1	France	FR	FR		46	2	FR	1	Germany	GM	GM		51.5	10.5	GM	20191205070000	https://www.yenisafak.com/en/news/macron-says-european-leaders-to-meet-again-with-erdogan-3506666
890958024	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA																		0	192	192	19	4	-9.5	8	1	8	1.12359550561798	3	Montecito, California, United States	US	USCA	CA083	34.4367	-119.632	1661052	0								3	Montecito, California, United States	US	USCA	CA083	34.4367	-119.632	1661052	20191205070000	https://www.santafenewmexican.com/news/local_news/award-winner-from-recounts-how-honor-from-new-mexican-lifted/article_048f18f6-e5a7-581f-a32e-053312486bf6.html
890958025	20181205	201812	2018	2018.9178	USA	LOS ANGELES	USA								GBR	BRITISH	GBR								1	073	073	07	2	7.4	8	1	8	-8.07174887892377	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20191205070000	https://www.bangkokpost.com/learning/easy/1809199/caver-felt-shamed-dirtied-by-musk-tweet
