890939484	20181205	201812	2018	2018.9178	GOV	MAYOR						GOV			USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-1.28755364806867	3	Staten Island, New York, United States	US	USNY	NY085	40.5834	-74.1496	1802959	3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	20191205044500	https://www.silive.com/news/2019/12/michael-bloomberg-says-country-in-need-of-new-president-during-visit-to-staten-island.html
890939485	20181205	201812	2018	2018.9178	IRNREL	IRAN	IRN								REL	PRIEST									0	084	084	08	2	7.0	2	1	2	-3.97877984084881	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20191205044500	https://www.kvnf.org/post/how-iranians-see-fuel-price-protests-happening-across-their-country
890939486	20181205	201812	2018	2018.9178	IRNREL	IRAN	IRN								REL	PRIEST									0	112	112	11	3	-2.0	2	1	2	-3.97877984084881	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20191205044500	https://www.kvnf.org/post/how-iranians-see-fuel-price-protests-happening-across-their-country
890939487	20181205	201812	2018	2018.9178	LEG	PARLIAMENT						LEG													1	030	030	03	1	4.0	10	1	10	-6.63811563169165	1	Malaysia	MY	MY		2.5	112.5	MY	0								1	Malaysia	MY	MY		2.5	112.5	MY	20191205044500	https://www.malaysiakini.com/news/502463
890939488	20181205	201812	2018	2018.9178	LEG	LAWMAKER						LEG													0	036	036	03	1	4.0	10	1	10	-2.08333333333334	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	0								4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20191205044500	https://cnnphilippines.com:443/news/2019/12/5/Duterte-ABS-CBN-franchise-renewal-human-rights.html
890939489	20181205	201812	2018	2018.9178	MIL	MILITARY FORCE						MIL			SGP	SINGAPORE	SGP								0	050	050	05	1	3.5	1	1	1	-0.89686098654709	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20191205044500	http://world.kbs.co.kr/service/contents_view.htm?menu_cate=northkorea&board_seq=375660&page=1&board_code=
890939490	20181205	201812	2018	2018.9178	MIL	MILITARY FORCE						MIL			SGP	SINGAPORE	SGP								0	050	050	05	1	3.5	2	1	2	-0.89686098654709	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20191205044500	http://world.kbs.co.kr/service/contents_view.htm?menu_cate=northkorea&board_seq=375660&page=1&board_code=
890939491	20181205	201812	2018	2018.9178	PRK	NORTH KOREA	PRK								SGP	SINGAPORE	SGP								0	050	050	05	1	3.5	1	1	1	-0.89686098654709	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20191205044500	http://world.kbs.co.kr/service/contents_view.htm?menu_cate=northkorea&board_seq=375660&page=1&board_code=
890939492	20181205	201812	2018	2018.9178	PRK	NORTH KOREA	PRK								SGP	SINGAPORE	SGP								0	050	050	05	1	3.5	1	1	1	-0.89686098654709	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20191205044500	http://world.kbs.co.kr/service/contents_view.htm?menu_cate=northkorea&board_seq=375660&page=1&board_code=
890939493	20181205	201812	2018	2018.9178	REL	BISHOP																			0	084	084	08	2	7.0	6	1	6	-3.97877984084881	1	Iran	IR	IR		32	53	IR	0								1	Iran	IR	IR		32	53	IR	20191205044500	https://www.kvnf.org/post/how-iranians-see-fuel-price-protests-happening-across-their-country
