890939494	20181205	201812	2018	2018.9178	REL	BISHOP									IRN	IRAN	IRN								0	084	084	08	2	7.0	2	1	2	-3.97877984084881	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20191205044500	https://www.kvnf.org/post/how-iranians-see-fuel-price-protests-happening-across-their-country
890939495	20181205	201812	2018	2018.9178	UAF	GUNMAN						UAF			CHR	CHRISTIAN				CHR					1	193	193	19	4	-10.0	6	1	6	-6.63507109004739	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20191205044500	http://www.irishnews.com/news/northernirelandnews/2019/12/05/news/dissident-republicans-were-paid-to-murder-jim-donegan-1782773/
890939496	20181205	201812	2018	2018.9178	UAF	GUNMAN						UAF			IRL	IRELAND	IRL								1	193	193	19	4	-10.0	4	1	4	-6.63507109004739	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20191205044500	http://www.irishnews.com/news/northernirelandnews/2019/12/05/news/dissident-republicans-were-paid-to-murder-jim-donegan-1782773/
890939497	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA								GOV	MAYOR						GOV			0	012	012	01	1	-0.4	2	1	2	-1.28755364806867	3	Staten Island, New York, United States	US	USNY	NY085	40.5834	-74.1496	1802959	3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	20191205044500	https://www.silive.com/news/2019/12/michael-bloomberg-says-country-in-need-of-new-president-during-visit-to-staten-island.html
890939498	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA								GOV	MAYOR						GOV			0	042	042	04	1	1.9	2	1	2	-1.28755364806867	3	Staten Island, New York, United States	US	USNY	NY085	40.5834	-74.1496	1802959	3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	20191205044500	https://www.silive.com/news/2019/12/michael-bloomberg-says-country-in-need-of-new-president-during-visit-to-staten-island.html
890939499	20191105	201911	2019	2019.8356	CHN	NANNING	CHN								MED	MEDIA						MED			0	175	175	17	4	-9.0	5	1	5	-9.19881305637986	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	5	Guangxi, Guangxi, China	CH	CH16	13062	24	109	-1907151	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	20191205044500	https://www.thesundaily.my/world/former-chinese-rights-lawyer-arrested-for-inciting-subversion-JF1722821
890939500	20191105	201911	2019	2019.8356	DEU	GERMANY	DEU								IGOWSTNAT	NATO	WST	NAT				IGO			1	020	020	02	1	3.0	2	1	2	-1.34529147982063	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205044500	https://bdnews24.com/world/2019/12/05/not-so-nasty-nato-avoids-a-car-crash-summit
890939501	20191105	201911	2019	2019.8356	DEU	GERMANY	DEU								IGOWSTNAT	NATO	WST	NAT				IGO			1	020	020	02	1	3.0	8	1	8	-1.34529147982063	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205044500	https://bdnews24.com/world/2019/12/05/not-so-nasty-nato-avoids-a-car-crash-summit
890939502	20191105	201911	2019	2019.8356	FRA	FRANCE	FRA								IGOWSTNAT	NATO	WST	NAT				IGO			1	020	020	02	1	3.0	10	1	10	-1.34529147982063	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205044500	https://bdnews24.com/world/2019/12/05/not-so-nasty-nato-avoids-a-car-crash-summit
890939503	20191105	201911	2019	2019.8356	GOV	AMBASSADOR						GOV			NPL	NEPAL	NPL								1	161	161	16	4	-4.0	4	1	4	6.8421052631579	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	20191205044500	https://myrepublica.nagariknetwork.com/news/new-uk-envoy-submits-credentials-to-president/
890939504	20191105	201911	2019	2019.8356	IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			BUS	COMPANY						BUS			0	030	030	03	1	4.0	4	1	4	-0.29498525073746	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205044500	https://gadgets.ndtv.com/apps/news/instagram-birthday-new-accounts-age-verification-2143603
890939505	20191105	201911	2019	2019.8356	MED	MEDIA						MED			CHN	NANNING	CHN								0	140	140	14	3	-6.5	5	1	5	-9.19881305637986	5	Guangxi, Guangxi, China	CH	CH16	13062	24	109	-1907151	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	20191205044500	https://www.thesundaily.my/world/former-chinese-rights-lawyer-arrested-for-inciting-subversion-JF1722821
890939506	20191105	201911	2019	2019.8356	NPLGOV	NEPAL	NPL					GOV			NPL	NEPAL	NPL								1	161	161	16	4	-4.0	1	1	1	6.8421052631579	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	20191205044500	https://myrepublica.nagariknetwork.com/news/new-uk-envoy-submits-credentials-to-president/
890939507	20191105	201911	2019	2019.8356	USA	UNITED STATES	USA								MED	MEDIA						MED			1	193	193	19	4	-10.0	4	1	4	0.86580086580086	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205044500	https://www.syfy.com/syfywire/frozen-ii-into-the-unknown-watchmen-daniel-bruhl
890939508	20191128	201911	2019	2019.8986											HLH	HOSPITAL						HLH			1	030	030	03	1	4.0	3	1	3	0.48780487804878	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20191205044500	https://fox8.com/2019/12/04/he-had-a-relapse-criss-angels-5-year-old-son-reportedly-starting-cancer-treatment-next-week/
890939509	20191128	201911	2019	2019.8986											HLH	HOSPITAL						HLH			1	036	036	03	1	4.0	3	1	3	0.48780487804878	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20191205044500	https://fox8.com/2019/12/04/he-had-a-relapse-criss-angels-5-year-old-son-reportedly-starting-cancer-treatment-next-week/
890939510	20191128	201911	2019	2019.8986											NGOUSAJEW	AMIT	USA			JEW		NGO			1	040	040	04	1	1.0	4	1	4	-4.78048780487805	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20191205044500	https://sabrangindia.in/article/harsh-goenka-scared-criticizing-modi-government
890939511	20191128	201911	2019	2019.8986	HLH	HOSPITAL						HLH													1	030	030	03	1	4.0	3	1	3	0.48780487804878	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20191205044500	https://fox8.com/2019/12/04/he-had-a-relapse-criss-angels-5-year-old-son-reportedly-starting-cancer-treatment-next-week/
890939512	20191128	201911	2019	2019.8986	LEG	LAWMAKER						LEG													0	173	173	17	4	-5.0	5	1	5	-8.12720848056535	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20191205044500	http://www.dailymirror.lk/international/Rouhani-calls-for-release-of-innocent-unarmed-protesters/107-179061
890939513	20191128	201911	2019	2019.8986	LEG	LAWMAKER						LEG			OPP	PROTESTER						OPP			0	173	173	17	4	-5.0	5	1	5	-8.12720848056535	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20191205044500	http://www.dailymirror.lk/international/Rouhani-calls-for-release-of-innocent-unarmed-protesters/107-179061
890939514	20191128	201911	2019	2019.8986	LEGGOV	CONGRESS						LEG	GOV		GOV	CHIEF MINISTER						GOV			1	020	020	02	1	3.0	10	1	10	2.30414746543779	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20191205044500	https://economictimes.indiatimes.com/news/politics-and-nation/after-sonia-gandhi-dmks-kanimozhi-raises-the-issue-of-delayed-and-reduced-maternity-benefits/articleshow/72376895.cms
890939515	20191128	201911	2019	2019.8986	NGOUSAJEW	AMIT	USA			JEW		NGO													1	040	040	04	1	1.0	1	1	1	-4.78048780487805	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20191205044500	https://sabrangindia.in/article/harsh-goenka-scared-criticizing-modi-government
890939516	20191128	201911	2019	2019.8986	NGOUSAJEW	AMIT	USA			JEW		NGO													1	040	040	04	1	1.0	3	1	3	-4.78048780487805	1	India	IN	IN		20	77	IN	0								1	Pakistan	PK	PK		30	70	PK	20191205044500	https://sabrangindia.in/article/harsh-goenka-scared-criticizing-modi-government
890939517	20191128	201911	2019	2019.8986	USA	UNITED STATES	USA								HLH	HOSPITAL						HLH			1	030	030	03	1	4.0	4	1	4	0.48780487804878	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	20191205044500	https://fox8.com/2019/12/04/he-had-a-relapse-criss-angels-5-year-old-son-reportedly-starting-cancer-treatment-next-week/
890939518	20191128	201911	2019	2019.8986	USA	UNITED STATES	USA								HLH	HOSPITAL						HLH			1	036	036	03	1	4.0	2	1	2	0.48780487804878	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	20191205044500	https://fox8.com/2019/12/04/he-had-a-relapse-criss-angels-5-year-old-son-reportedly-starting-cancer-treatment-next-week/
890939519	20191204	201912	2019	2019.9151	COP	POLICE						COP			MMR	MYANMARESE	MMR								1	173	173	17	4	-5.0	8	1	8	-4.61538461538462	1	Myanmar	BM	BM		22	98	BM	1	Myanmar	BM	BM		22	98	BM	1	Myanmar	BM	BM		22	98	BM	20191205044500	https://www.thesundaily.my/local/17-month-old-myanmar-boy-found-drowned-in-ipoh-FF1722896
890939520	20191204	201912	2019	2019.9151	LEG	SENATE PRESIDENT						LEG			NGA	NIGERIAN	NGA								1	010	010	01	1	0.0	10	1	10	2.35756385068762	4	Adamawa, Nigeria (general), Nigeria	NI	NI00	23118	11.4833	10.9667	-1997189	4	Adamawa, Nigeria (general), Nigeria	NI	NI00	23118	11.4833	10.9667	-1997189	4	Adamawa, Nigeria (general), Nigeria	NI	NI00	23118	11.4833	10.9667	-1997189	20191205044500	https://www.dailytrust.com.ng/constitutional-amendment-begins-january-lawan.html
890939521	20191204	201912	2019	2019.9151	NGA	NIGERIA	NGA								NGAMED	NIGERIA	NGA					MED			0	010	010	01	1	0.0	4	1	4	2.35756385068762	4	Adamawa, Nigeria (general), Nigeria	NI	NI00	23118	11.4833	10.9667	-1997189	4	Adamawa, Nigeria (general), Nigeria	NI	NI00	23118	11.4833	10.9667	-1997189	4	Adamawa, Nigeria (general), Nigeria	NI	NI00	23118	11.4833	10.9667	-1997189	20191205044500	https://www.dailytrust.com.ng/constitutional-amendment-begins-january-lawan.html
890939522	20191205	201912	2019	2019.9178											AFG	KABUL	AFG								1	042	042	04	1	1.9	3	1	3	-4.40677966101695	0								4	Bagram Airfield, Parvan, Afghanistan	AF	AF40	99925	34.9459	69.2647	6284331	4	Bagram Airfield, Parvan, Afghanistan	AF	AF40	99925	34.9459	69.2647	6284331	20191205044500	https://www.tribuneindia.com/news/world/us-envoy-in-kabul-for-revival-of-peace-talks/870522.html
890939523	20191205	201912	2019	2019.9178											AFGGOV	ASHRAF GHANI	AFG					GOV			1	040	040	04	1	1.0	8	1	8	-0.28901734104046	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20191205044500	http://www.daijiworld.com/news/newsDisplay.aspx?newsID=650281
890939524	20191205	201912	2019	2019.9178											AFGINSTAL	TALIBAN	AFG	TAL				INS			1	046	046	04	1	7.0	8	1	8	-0.28901734104046	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20191205044500	http://www.daijiworld.com/news/newsDisplay.aspx?newsID=650281
890939525	20191205	201912	2019	2019.9178											AFGINSTAL	TALIBAN	AFG	TAL				INS			1	046	046	04	1	7.0	2	1	2	-0.28901734104046	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20191205044500	http://www.daijiworld.com/news/newsDisplay.aspx?newsID=650281
890939526	20191205	201912	2019	2019.9178											AFR	AFRICA	AFR								1	042	042	04	1	1.9	4	1	4	1.70940170940171	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20191205044500	http://www.daijiworld.com/news/newsDisplay.aspx?newsID=650280
890939527	20191205	201912	2019	2019.9178											AGR	FARM WORKER						AGR			1	043	043	04	1	2.8	5	1	5	0.31347962382445	0								4	State Land, Masvingo, Zimbabwe	ZI	ZI08	40197	-19.8017	30.7528	10750662	4	State Land, Masvingo, Zimbabwe	ZI	ZI08	40197	-19.8017	30.7528	10750662	20191205044500	https://citizen.co.za/news/opinion/opinion-editorials/2214852/dont-let-land-fall-into-the-wrong-hands/
890939528	20191205	201912	2019	2019.9178											AUS	AUSTRALIA	AUS								1	020	020	02	1	3.0	2	1	2	4.20289855072464	0								4	Natimuk, Victoria, Australia	AS	AS07	5385	-36.7403	141.945	-1590993	4	Natimuk, Victoria, Australia	AS	AS07	5385	-36.7403	141.945	-1590993	20191205044500	https://www.msn.com/en-au/news/other/part-of-mount-arapiles-near-grampians-national-park-closed-to-climbers-sacred-aboriginal-rock-art-found/ar-BBXMnmM
890939529	20191205	201912	2019	2019.9178											BUS	COMPANIES						BUS			1	010	010	01	1	0.0	2	1	2	2.23880597014925	0								5	Gombe State, Gombe, Nigeria	NI	NI55	22658	10.25	11.1667	9098619	5	Gombe State, Gombe, Nigeria	NI	NI55	22658	10.25	11.1667	9098619	20191205044500	https://www.thisdaylive.com/index.php/2019/12/05/ncc-directed-to-implement-executive-orders-on-contract-awards/
890939530	20191205	201912	2019	2019.9178											BUS	BUSINESS						BUS			1	040	040	04	1	1.0	3	1	3	2.48138957816377	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20191205044500	https://www.nst.com.my/news/nation/2019/12/544972/sate-sake-food-truck-makes-inroads-italy
890939531	20191205	201912	2019	2019.9178											BUS	BANK						BUS			1	042	042	04	1	1.9	4	1	4	0.97560975609756	0								4	Yamuna, India (general), India	IN	IN00	70270	25.5	81.8833	-2114824	4	Yamuna, India (general), India	IN	IN00	70270	25.5	81.8833	-2114824	20191205044500	https://www.timesnownews.com/mirror-now/in-focus/article/delhi-can-achieve-25-green-cover-by-2025-if-dda-hands-over-land-on-yamuna-riverbanks/523208
890939532	20191205	201912	2019	2019.9178											BUS	PRODUCER						BUS			1	042	042	04	1	1.9	6	1	6	2.71493212669683	0								3	Bucks County, Pennsylvania, United States	US	USPA		40.5004	-75.3749	1209173	3	Bucks County, Pennsylvania, United States	US	USPA		40.5004	-75.3749	1209173	20191205044500	https://wwdbam.com/shows/your-valuable-home/about/
890939533	20191205	201912	2019	2019.9178											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	10	1	10	-2.03252032520325	0								3	Cuyahoga County, Ohio, United States	US	USOH		41.4334	-81.6665	1074030	3	Cuyahoga County, Ohio, United States	US	USOH		41.4334	-81.6665	1074030	20191205044500	https://www.cleveland19.com/2019/12/05/fentanyl-strips-help-users-avoid-drugs-laced-with-lethal-opioid/
890939534	20191205	201912	2019	2019.9178											BUS	BUSINESS						BUS			0	060	060	06	2	6.0	6	1	6	-1.20320855614973	0								4	Fort Orange, Netherlands (general), Netherlands	NL	NL00	16736	17.4667	-62.9833	-1710543	4	Fort Orange, Netherlands (general), Netherlands	NL	NL00	16736	17.4667	-62.9833	-1710543	20191205044500	https://www.timesunion.com/news/article/Stabilization-to-begin-on-oldest-home-in-Albany-14879007.php
890939535	20191205	201912	2019	2019.9178											BUS	BANK						BUS			0	192	192	19	4	-9.5	5	1	5	3.76712328767124	0								3	Lakeland, Tennessee, United States	US	USTN	TN157	35.2306	-89.7404	1313627	3	Lakeland, Tennessee, United States	US	USTN	TN157	35.2306	-89.7404	1313627	20191205044500	https://www.msn.com/en-us/foodanddrink/foodnews/12th-annual-wmc-holiday-food-drive-a-success/ar-BBXMx5r
890939536	20191205	201912	2019	2019.9178											CHN	CHINA	CHN								0	020	020	02	1	3.0	1	1	1	-4.40140845070423	0								4	Faisalabad, Punjab, Pakistan	PK	PK04	23661	31.4167	73.0833	-2759985	1	China	CH	CH		35	105	CH	20191205044500	https://thestarphoenix.com/news/world/more-than-600-pakistani-girls-and-women-were-sold-as-brides-in-china-but-diplomatic-ties-threaten-investigation/wcm/f1410c81-0e92-4950-bf66-a49e0821b60a
890939537	20191205	201912	2019	2019.9178											CHN	CHINA	CHN								0	042	042	04	1	1.9	1	1	1	-4.40140845070423	0								4	Faisalabad, Punjab, Pakistan	PK	PK04	23661	31.4167	73.0833	-2759985	4	Faisalabad, Punjab, Pakistan	PK	PK04	23661	31.4167	73.0833	-2759985	20191205044500	https://thestarphoenix.com/news/world/more-than-600-pakistani-girls-and-women-were-sold-as-brides-in-china-but-diplomatic-ties-threaten-investigation/wcm/f1410c81-0e92-4950-bf66-a49e0821b60a
890939538	20191205	201912	2019	2019.9178											CHN	CHINESE	CHN								1	046	046	04	1	7.0	2	1	2	-1.70132325141777	0								1	Japan	JA	JA		36	138	JA	4	Malanda, Queensland, Australia	AS	AS04	40197	-17.3517	145.596	-1585362	20191205044500	https://www.northqueenslandregister.com.au/story/6525208/dairy-buyout-doesnt-phase-tablelanders/?cs=4784
890939539	20191205	201912	2019	2019.9178											CHN	CHINESE	CHN								1	046	046	04	1	7.0	8	1	8	-1.70132325141777	0								1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20191205044500	https://www.northqueenslandregister.com.au/story/6525208/dairy-buyout-doesnt-phase-tablelanders/?cs=4784
890939540	20191205	201912	2019	2019.9178											CHN	CHINESE	CHN								1	060	060	06	2	6.0	8	1	8	-4.40140845070423	0								1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20191205044500	https://thestarphoenix.com/news/world/more-than-600-pakistani-girls-and-women-were-sold-as-brides-in-china-but-diplomatic-ties-threaten-investigation/wcm/f1410c81-0e92-4950-bf66-a49e0821b60a
890939541	20191205	201912	2019	2019.9178											COP	POLICE						COP			1	018	018	01	1	3.4	10	1	10	-10.1010101010101	0								3	West Garfield Park, Illinois, United States	US	USIL		41.8806	-87.7292	1772791	3	West Garfield Park, Illinois, United States	US	USIL		41.8806	-87.7292	1772791	20191205044500	https://wgntv.com/2019/12/04/officials-on-the-scene-after-police-involved-shooting-in-west-garfield-park/
890939542	20191205	201912	2019	2019.9178											COP	PRISON						COP			1	042	042	04	1	1.9	5	1	5	-3.62776025236593	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20191205044500	https://www.abqjournal.com/1398084/sf-swindler-sentenced-to-house-arrest-weekends-in-prison.html
890939543	20191205	201912	2019	2019.9178											COP	PRISON						COP			1	046	046	04	1	7.0	2	1	2	-5.8659217877095	0								3	Terre Haute, Indiana, United States	US	USIN		39.4667	-87.4139	444648	3	Terre Haute, Indiana, United States	US	USIN		39.4667	-87.4139	444648	20191205044500	https://wibqam.com/news/articles/2019/dec/05/jayna-sullivan-making-waves-and-noise-after-losing-her-son-to-reckless-homicide/963753/
890939544	20191205	201912	2019	2019.9178											COP	PRISON						COP			1	046	046	04	1	7.0	3	1	3	-5.8659217877095	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20191205044500	https://wibqam.com/news/articles/2019/dec/05/jayna-sullivan-making-waves-and-noise-after-losing-her-son-to-reckless-homicide/963753/
890939545	20191205	201912	2019	2019.9178											COP	POLICE						COP			1	173	173	17	4	-5.0	6	1	6	-5.90062111801242	0								3	Pawhuska, Oklahoma, United States	US	USOK	OK113	36.6678	-96.3372	1096476	3	Pawhuska, Oklahoma, United States	US	USOK	OK113	36.6678	-96.3372	1096476	20191205044500	https://www.newson6.com/story/41408669/pawhuska-police-make-third-felony-meth-arrest-in-recent-months
890939546	20191205	201912	2019	2019.9178											COP	POLICE OFFICER						COP			0	173	173	17	4	-5.0	5	1	5	-12.4597207303974	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20191205044500	http://ucsdguardian.org/2019/12/04/hong-kong-problem-police-brutality/
890939547	20191205	201912	2019	2019.9178											CVL	LANDOWNER						CVL			0	030	030	03	1	4.0	10	1	10	-1.20320855614973	0								4	Fort Orange, Netherlands (general), Netherlands	NL	NL00	16736	17.4667	-62.9833	-1710543	4	Fort Orange, Netherlands (general), Netherlands	NL	NL00	16736	17.4667	-62.9833	-1710543	20191205044500	https://www.timesunion.com/news/article/Stabilization-to-begin-on-oldest-home-in-Albany-14879007.php
890939548	20191205	201912	2019	2019.9178											CVL	SMALL TOWN						CVL			1	036	036	03	1	4.0	10	1	10	2.22222222222222	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20191205044500	https://www.wvlnam.com/2019/12/04/2019-inrd-santa-train/
890939549	20191205	201912	2019	2019.9178											CVL	COMMUNITY						CVL			1	040	040	04	1	1.0	5	1	5	-3.76940133037694	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205044500	https://www.tc.columbia.edu/articles/2019/december/a-public-health-agenda-that-addresses-slaverys-legacy/
