890934464	20181205	201812	2018	2018.9178	CAN	VANCOUVER	CAN								CANGOV	CANADA	CAN					GOV			1	020	020	02	1	3.0	2	1	2	1.87713310580205	4	Cloverdale, British Columbia, Canada	CA	CA02	12552	49.1	-122.733	-562755	4	Cloverdale, British Columbia, Canada	CA	CA02	12552	49.1	-122.733	-562755	4	Cloverdale, British Columbia, Canada	CA	CA02	12552	49.1	-122.733	-562755	20191205040000	https://vancouversun.com/news/local-news/petition-urges-feds-to-fund-transit-expansion-including-skytrain-to-langley
890934465	20181205	201812	2018	2018.9178	CAN	VANCOUVER	CAN								CANGOV	CANADA	CAN					GOV			1	020	020	02	1	3.0	2	1	2	1.87713310580205	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	20191205040000	https://vancouversun.com/news/local-news/petition-urges-feds-to-fund-transit-expansion-including-skytrain-to-langley
890934466	20181205	201812	2018	2018.9178	CANGOV	VANCOUVER	CAN					GOV													1	020	020	02	1	3.0	2	1	2	1.87713310580205	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	0								4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	20191205040000	https://vancouversun.com/news/local-news/petition-urges-feds-to-fund-transit-expansion-including-skytrain-to-langley
890934467	20181205	201812	2018	2018.9178	CANGOV	CANADA	CAN					GOV			CAN	CANADA	CAN								1	020	020	02	1	3.0	4	1	4	1.87713310580205	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	4	Langley, British Columbia, Canada	CA	CA02	12552	49.1	-122.65	-567692	20191205040000	https://vancouversun.com/news/local-news/petition-urges-feds-to-fund-transit-expansion-including-skytrain-to-langley
890934468	20181205	201812	2018	2018.9178	JUDJUD	HIGH COURT						JUD	JUD		GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	5	1	5	-0.66371681415929	0								0								0								20191205040000	http://dailyexpress.com.my/news/144433/court-rejects-johor-s-appeal-to-strike-out-suit/
890934469	20181205	201812	2018	2018.9178	USA	UNITED STATES	USA																		1	070	070	07	2	7.0	2	1	2	0.25906735751295	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	0								1	Jersey	JE	JE		49.216667	-2.116667	JE	20191205040000	https://wpst.com/see-the-christmas-vacation-decorated-house-in-south-jersey/
890934470	20181205	201812	2018	2018.9178	USA	AMERICAN	USA								AFG	AFGHANISTAN	AFG								0	013	013	01	1	0.4	10	1	10	-1.71232876712328	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20191205040000	https://www.therecordherald.com/news/20191204/us-rep-conor-lamb-visits-troops-in-afghanistan-kuwait-over-thanksgiving
890934471	20181205	201812	2018	2018.9178	USA	DETROIT	USA								JUD	COUNSEL						JUD			1	071	071	07	2	7.4	5	1	5	-3.33333333333333	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20191205040000	https://www.detroitnews.com/story/opinion/columnists/nolan-finley/2019/12/04/finley-detroit-leaves-million-poor-defense-table/2608918001/
890934472	20191105	201911	2019	2019.8356	EGY	EGYPT	EGY								USA	UNITED STATES	USA								1	040	040	04	1	1.0	3	1	3	0	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20191205040000	https://thehill.com/homenews/campaign/473131-sanders-to-join-youth-climate-strikers-in-iowa
890934473	20191105	201911	2019	2019.8356	EGY	ALEXANDRIA	EGY								USA	IOWA	USA								1	040	040	04	1	1.0	3	1	3	0	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20191205040000	https://thehill.com/homenews/campaign/473131-sanders-to-join-youth-climate-strikers-in-iowa
