891157522	20181206	201812	2018	2018.9205											CHE	SWITZERLAND	CHE								1	036	036	03	1	4.0	1	1	1	-0.49586776859504	0								4	Luis Gomez, Oaxaca, Mexico	MX	MX20	20578	16.4167	-94.8	-1681818	4	Luis Gomez, Oaxaca, Mexico	MX	MX20	20578	16.4167	-94.8	-1681818	20191206011500	https://www.yahoo.com/lifestyle/fernando-laposse-brings-shaggy-chilled-183000940.html
891157523	20181206	201812	2018	2018.9205											CHE	DAVOS	CHE								1	036	036	03	1	4.0	2	1	2	-0.49586776859504	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	4	Luis Gomez, Oaxaca, Mexico	MX	MX20	20578	16.4167	-94.8	-1681818	20191206011500	https://www.yahoo.com/lifestyle/fernando-laposse-brings-shaggy-chilled-183000940.html
891157524	20181206	201812	2018	2018.9205											CHE	DAVOS	CHE								1	036	036	03	1	4.0	2	1	2	-0.49586776859504	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20191206011500	https://www.yahoo.com/lifestyle/fernando-laposse-brings-shaggy-chilled-183000940.html
891157525	20181206	201812	2018	2018.9205											PAK	PAKISTAN	PAK								0	111	111	11	3	-2.0	6	1	6	-3.12796208530806	0								4	Gilgit, Northern Areas, Pakistan	PK	PK07	40421	35.9187	74.3125	-2761060	4	Gilgit, Northern Areas, Pakistan	PK	PK07	40421	35.9187	74.3125	-2761060	20191206011500	https://unpo.org/article/21716
891157526	20181206	201812	2018	2018.9205											PAK	PAKISTAN	PAK								0	111	111	11	3	-2.0	1	1	1	-3.12796208530806	0								4	Ghanche, Northern Areas, Pakistan	PK	PK07	72785	35.2169	76.4243	10740332	4	Ghanche, Northern Areas, Pakistan	PK	PK07	72785	35.2169	76.4243	10740332	20191206011500	https://unpo.org/article/21716
891157527	20181206	201812	2018	2018.9205	AFG	AFGHANISTAN	AFG								JPN	JAPAN	JPN								0	010	010	01	1	0.0	1	1	1	-5.38573508005822	4	Peshawar, North-West Frontier, Pakistan	PK	PK03	40347	34.0078	71.5733	-2771364	4	Parwan, Parvan, Afghanistan	AF	AF40	3717	35.1215	69.2373	-3377581	4	Parwan, Parvan, Afghanistan	AF	AF40	3717	35.1215	69.2373	-3377581	20191206011500	https://www.msn.com/en-sg/news/world/afghan-mourners-demand-justice-for-slain-japanese-hero/ar-BBXPqQf
891157528	20181206	201812	2018	2018.9205	AFG	AFGHANISTAN	AFG								JPN	JAPAN	JPN								0	010	010	01	1	0.0	1	1	1	-5.38573508005822	5	Nangarhar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	4	Fukuoka, Fukuoka, Japan	JA	JA07	33728	33.5833	130.4	-227372	4	Fukuoka, Fukuoka, Japan	JA	JA07	33728	33.5833	130.4	-227372	20191206011500	https://www.msn.com/en-sg/news/world/afghan-mourners-demand-justice-for-slain-japanese-hero/ar-BBXPqQf
891157529	20181206	201812	2018	2018.9205	GOV	PRESIDENT						GOV			IRN	TEHRAN	IRN								1	0874	087	08	2	10.0	3	1	3	-1.81818181818181	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191206011500	https://www.europesun.com/news/263296930/russia-halts-work-at-irans-fordow-nuclear-facility
891157530	20181206	201812	2018	2018.9205	USA	UNITED STATES	USA																		0	193	193	19	4	-10.0	4	1	4	-9.80392156862749	3	Dallas County, Texas, United States	US	USTX	TX113	32.7668	-96.7836	1383842	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20191206011500	https://www.dallasnews.com/news/courts/2019/12/06/dallas-county-da-john-creuzot-seeks-dismissal-of-contempt-case-over-interview-about-amber-guyger-trial/
891157531	20181206	201812	2018	2018.9205	USA	LOUISIANA	USA								EDU	COLLEGE						EDU			1	084	084	08	2	7.0	5	1	5	1.52403282532239	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20191206011500	https://www.theadvocate.com/baton_rouge/news/education/article_7044977e-16d3-11ea-85ce-87f74cb1a3d8.html
