891117953	20181205	201812	2018	2018.9178											GOV	ADMINISTRATION						GOV			1	130	130	13	3	-4.4	2	1	2	-1.05708245243129	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20191205214500	https://www.masslive.com/news/2019/12/offshore-drilling-creates-pressing-threat-to-massachusettss-environment-residents-health-report-says.html
891117954	20181205	201812	2018	2018.9178											GOV	ADMINISTRATION						GOV			1	130	130	13	3	-4.4	4	1	4	-1.05708245243129	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20191205214500	https://www.masslive.com/news/2019/12/offshore-drilling-creates-pressing-threat-to-massachusettss-environment-residents-health-report-says.html
891117955	20181205	201812	2018	2018.9178											JUD	SUPREME COURT						JUD			0	043	043	04	1	2.8	3	1	3	-3.81471389645777	0								5	Shizuoka, Shizuoka, Japan	JA	JA37	36171	35.0252	138.325	-244118	5	Shizuoka, Shizuoka, Japan	JA	JA37	36171	35.0252	138.325	-244118	20191205214500	https://japantoday.com/category/features/kuchikomi/sister-fights-for-former-pro-boxer-who-was-on-death-row-for-46-years
891117956	20181205	201812	2018	2018.9178											USAGOV	UNITED STATES	USA					GOV			1	130	130	13	3	-4.4	4	1	4	-1.05708245243129	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20191205214500	https://www.masslive.com/news/2019/12/offshore-drilling-creates-pressing-threat-to-massachusettss-environment-residents-health-report-says.html
891117957	20181205	201812	2018	2018.9178	AUS	AUSTRALIA	AUS								GHA	GHANA	GHA								0	042	042	04	1	1.9	1	1	1	2.78884462151395	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20191205214500	https://www.pedestrian.tv/music/montaigne-didirri-eurovision-australia-decides/
891117958	20181205	201812	2018	2018.9178	AUS	AUSTRALIA	AUS								GHA	GHANA	GHA								0	042	042	04	1	1.9	5	1	5	2.78884462151395	1	Australia	AS	AS		-25	135	AS	1	Ghana	GH	GH		8	-2	GH	1	Australia	AS	AS		-25	135	AS	20191205214500	https://www.pedestrian.tv/music/montaigne-didirri-eurovision-australia-decides/
891117959	20181205	201812	2018	2018.9178	AUS	AUSTRALIA	AUS								NLD	NETHERLANDS	NLD								1	046	046	04	1	7.0	2	1	2	2.78884462151395	1	Australia	AS	AS		-25	135	AS	1	Netherlands	NL	NL		52.5	5.75	NL	1	Australia	AS	AS		-25	135	AS	20191205214500	https://www.pedestrian.tv/music/montaigne-didirri-eurovision-australia-decides/
891117960	20181205	201812	2018	2018.9178	BUS	LANDLORD						BUS													0	031	031	03	1	5.2	10	1	10	-2.63396911898274	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20191205214500	https://www.wlrn.org/post/berlin-politicians-and-property-investors-tussle-over-rent-freeze
891117961	20181205	201812	2018	2018.9178	CHN	KUNLUN	CHN								USA	UNITED STATES	USA								0	0311	031	03	1	5.2	1	1	1	0.76923076923076	4	Kunlun, Zhejiang, China	CH	CH02	13324	29.9197	120.83	10562370	4	Kunlun, Zhejiang, China	CH	CH02	13324	29.9197	120.83	10562370	4	Kunlun, Zhejiang, China	CH	CH02	13324	29.9197	120.83	10562370	20191205214500	https://www.thebody.com/article/grindrs-lgbtq-rights-initiative-middle-east-north-africa
891117962	20181205	201812	2018	2018.9178	CHN	KUNLUN	CHN								USA	UNITED STATES	USA								0	0311	031	03	1	5.2	1	1	1	0.76923076923076	4	Kunlun, Zhejiang, China	CH	CH02	13324	29.9197	120.83	10562370	1	United States	US	US		39.828175	-98.5795	US	4	Kunlun, Zhejiang, China	CH	CH02	13324	29.9197	120.83	10562370	20191205214500	https://www.thebody.com/article/grindrs-lgbtq-rights-initiative-middle-east-north-africa
891117963	20181205	201812	2018	2018.9178	CHN	KUNLUN	CHN								USA	UNITED STATES	USA								0	0311	031	03	1	5.2	5	1	5	0.76923076923076	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20191205214500	https://www.thebody.com/article/grindrs-lgbtq-rights-initiative-middle-east-north-africa
