890989247	20181205	201812	2018	2018.9178											NAM	WINDHOEK	NAM								1	112	112	11	3	-2.0	10	1	10	-12.6984126984127	0								4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	20191205103000	https://allafrica.com/stories/201912050196.html
890989248	20181205	201812	2018	2018.9178	BUS	COMPANY						BUS													1	035	035	03	1	7.0	5	1	5	0	1	Maldives	MV	MV		3.2	73	MV	0								1	Maldives	MV	MV		3.2	73	MV	20191205103000	http://www.travelbizmonitor.com/Top-Stories/bookingcom-eyes-india-flight-and-car-rentals-49739
890989249	20181205	201812	2018	2018.9178	DEU	GERMAN	DEU								RUS	RUSSIAN	RUS								0	190	190	19	4	-10.0	4	1	4	-8.72093023255817	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20191205103000	https://www.aysor.am/en/news/2019/12/05/germany-russia/1636873
890989250	20181205	201812	2018	2018.9178	DEUMED	GERMAN	DEU					MED			RUSELI	RUSSIAN	RUS					ELI			0	190	190	19	4	-10.0	6	1	6	-8.72093023255817	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20191205103000	https://www.aysor.am/en/news/2019/12/05/germany-russia/1636873
890989251	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR								PSE	PALESTINIAN	PSE								0	051	051	05	1	3.4	1	1	1	-2.82258064516129	1	United Kingdom	UK	UK		54	-4	UK	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	1	United Kingdom	UK	UK		54	-4	UK	20191205103000	https://www.thetelegram.com/news/world/israels-foreign-minister-says-he-hopes-corbyn-loses-british-election-384489/
890989252	20181205	201812	2018	2018.9178	JUD	PROSECUTOR						JUD			USA	UNITED STATES	USA								0	130	130	13	3	-4.4	2	1	2	-6.74603174603174	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20191205103000	http://www.spacewar.com/reports/Victims_and_prosecutors_urge_Afghan_war_crimes_probe_999.html
890989253	20191105	201911	2019	2019.8356											MED	MAGAZINE						MED			1	040	040	04	1	1.0	10	1	10	3.07692307692307	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20191205103000	http://www.film-news.co.uk/news/UK/70285/Felicity-Jones-expecting-first-child
890989254	20191105	201911	2019	2019.8356											USA	CHICAGO	USA								1	161	161	16	4	-4.0	12	3	12	-4.65566597211975	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20191205103000	https://www.npr.org/2019/12/05/784513111/navigating-the-fallout-of-alleged-abuse-and-betrayal-in-a-sacred-muslim-space
890989255	20191105	201911	2019	2019.8356											USA	UNITED STATES	USA								1	161	161	16	4	-4.0	3	3	3	-4.65566597211975	0								2	California, United States	US	USCA		36.17	-119.746	CA	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20191205103000	https://www.npr.org/2019/12/05/784513111/navigating-the-fallout-of-alleged-abuse-and-betrayal-in-a-sacred-muslim-space
890989256	20191105	201911	2019	2019.8356											USA	CHICAGO	USA								1	161	161	16	4	-4.0	6	3	6	-4.65566597211975	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20191205103000	https://www.npr.org/2019/12/05/784513111/navigating-the-fallout-of-alleged-abuse-and-betrayal-in-a-sacred-muslim-space
