891092201	20181205	201812	2018	2018.9178	BGR	BULGARIAN	BGR								BGRMED	BULGARIAN	BGR					MED			0	036	036	03	1	4.0	7	1	7	1.02564102564103	4	Svishtov, Veliko Turnovo, Bulgaria	BU	BU62	12086	43.6231	25.3539	-838973	4	Svishtov, Veliko Turnovo, Bulgaria	BU	BU62	12086	43.6231	25.3539	-838973	4	Svishtov, Veliko Turnovo, Bulgaria	BU	BU62	12086	43.6231	25.3539	-838973	20191205191500	http://www.bta.bg/en/c/DF/id/2117259
891092202	20181205	201812	2018	2018.9178	BGRMED	BULGARIAN	BGR					MED			BGR	BULGARIAN	BGR								0	036	036	03	1	4.0	7	1	7	1.02564102564103	4	Svishtov, Veliko Turnovo, Bulgaria	BU	BU62	12086	43.6231	25.3539	-838973	4	Svishtov, Veliko Turnovo, Bulgaria	BU	BU62	12086	43.6231	25.3539	-838973	4	Svishtov, Veliko Turnovo, Bulgaria	BU	BU62	12086	43.6231	25.3539	-838973	20191205191500	http://www.bta.bg/en/c/DF/id/2117259
891092203	20181205	201812	2018	2018.9178	GBR	BIRMINGHAM	GBR								USA	ALABAMA	USA								1	043	043	04	1	2.8	20	2	20	3.49498976082072	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20191205191500	https://www.prnewswire.com:443/news-releases/c-spire-announces-plans-for-major-expansion-of-broadband-internet-services-in-birmingham-and-other-parts-of-alabama-300970225.html
891092204	20181205	201812	2018	2018.9178	RUS	RUSSIA	RUS								UKR	UKRAINIAN	UKR								1	173	173	17	4	-5.0	5	1	5	-3.39622641509434	4	Kerch Strait, Russia (general), Russia	RS	RS00	25065	45.3389	36.6169	-1041278	1	Ukraine	UP	UP		49	32	UP	4	Kerch Strait, Russia (general), Russia	RS	RS00	25065	45.3389	36.6169	-1041278	20191205191500	https://www.zerohedge.com/geopolitical/blocking-swift-access-would-be-declaration-war-russia-warns-against-us-nuclear-option
891092205	20181205	201812	2018	2018.9178	RUS	RUSSIA	RUS								UKR	UKRAINIAN	UKR								1	173	173	17	4	-5.0	3	1	3	-3.39622641509434	1	Iran	IR	IR		32	53	IR	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Iran	IR	IR		32	53	IR	20191205191500	https://www.zerohedge.com/geopolitical/blocking-swift-access-would-be-declaration-war-russia-warns-against-us-nuclear-option
891092206	20181205	201812	2018	2018.9178	USA	ALABAMA	USA								GBR	BIRMINGHAM	GBR								1	042	042	04	1	1.9	20	2	20	3.49498976082072	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20191205191500	https://www.prnewswire.com:443/news-releases/c-spire-announces-plans-for-major-expansion-of-broadband-internet-services-in-birmingham-and-other-parts-of-alabama-300970225.html
891092207	20191105	201911	2019	2019.8356	EDU	PROFESSOR						EDU			REL	RELIGION									1	040	040	04	1	1.0	4	1	4	-1.52733118971061	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20191205191500	https://www.sltrib.com/religion/2019/12/05/church-state-lawyer/
891092208	20191105	201911	2019	2019.8356	EDU	PROFESSOR						EDU			REL	RELIGION									1	040	040	04	1	1.0	6	1	6	-1.52733118971061	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20191205191500	https://www.sltrib.com/religion/2019/12/05/church-state-lawyer/
891092209	20191105	201911	2019	2019.8356	GOV	SECRETARY OF STATE						GOV			IRN	IRANIAN	IRN								1	020	020	02	1	3.0	3	1	3	-6.49526387009472	4	Mahshahr, Khuzestan, Iran	IR	IR15	40895	30.5588	49.1981	-3055128	4	Mahshahr, Khuzestan, Iran	IR	IR15	40895	30.5588	49.1981	-3055128	4	Mahshahr, Khuzestan, Iran	IR	IR15	40895	30.5588	49.1981	-3055128	20191205191500	http://www.northwestgeorgianews.com/associated_press/us-iran-may-have-killed-more-than-in-recent-protests/article_769a57e9-b4da-5679-837d-4a935d02dc8d.html
891092210	20191105	201911	2019	2019.8356	IRN	IRAN	IRN								IGOUNO	UNITED NATIONS		UNO				IGO			0	010	010	01	1	0.0	10	1	10	-5.88235294117648	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20191205191500	https://sputniknews.com/world/201912051077495044-family-of-disappeared-ex-fbi-agent-seeks-15-billion-in-damages-from-iran/
