890927802	20181205	201812	2018	2018.9178											GOV	GOVERNMENT						GOV			0	173	173	17	4	-5.0	4	1	4	-2.29357798165138	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20191205031500	https://timesofindia.indiatimes.com/india/karnataka-bypolls-all-you-need-to-know/articleshow/72376644.cms
890927803	20181205	201812	2018	2018.9178	GBR	MANCHESTER	GBR								GBRGOV	MANCHESTER	GBR					GOV			0	036	036	03	1	4.0	5	1	5	1.72043010752689	0								0								0								20191205031500	https://www.wmur.com/article/manchester-officials-approve-resettlement-of-refugees-in-city/30125174
890927804	20181205	201812	2018	2018.9178	GBR	MANCHESTER	GBR								REF	REFUGEE						REF			0	043	043	04	1	2.8	20	1	10	1.72043010752689	0								0								0								20191205031500	https://www.wmur.com/article/manchester-officials-approve-resettlement-of-refugees-in-city/30125174
890927805	20181205	201812	2018	2018.9178	GBRGOV	MANCHESTER	GBR					GOV			REF	REFUGEE						REF			0	013	013	01	1	0.4	5	1	5	1.72043010752689	0								0								0								20191205031500	https://www.wmur.com/article/manchester-officials-approve-resettlement-of-refugees-in-city/30125174
890927806	20181205	201812	2018	2018.9178	IND	KARNATAKA	IND								GOV	GOVERNMENT						GOV			0	173	173	17	4	-5.0	6	1	6	-2.29357798165138	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20191205031500	https://timesofindia.indiatimes.com/india/karnataka-bypolls-all-you-need-to-know/articleshow/72376644.cms
890927807	20181205	201812	2018	2018.9178	REF	REFUGEE						REF			GBR	MANCHESTER	GBR								0	042	042	04	1	1.9	20	1	10	1.72043010752689	0								0								0								20191205031500	https://www.wmur.com/article/manchester-officials-approve-resettlement-of-refugees-in-city/30125174
890927808	20181205	201812	2018	2018.9178	USA	THE US	USA																		0	012	012	01	1	-0.4	5	1	5	-4.91591203104786	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20191205031500	https://www.msn.com/en-us/news/world/north-korea-warns-un-on-discussing-countrys-human-rights/ar-BBXMbWw
890927809	20181205	201812	2018	2018.9178	USA	THE US	USA																		0	110	110	11	3	-2.0	3	1	3	-4.91591203104786	1	China	CH	CH		35	105	CH	0								4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20191205031500	https://www.msn.com/en-us/news/world/north-korea-warns-un-on-discussing-countrys-human-rights/ar-BBXMbWw
890927810	20191105	201911	2019	2019.8356											USA	UNITED STATES	USA								1	173	173	17	4	-5.0	1	1	1	-10.1851851851852	0								3	Sugar Land, Texas, United States	US	USTX		29.6197	-95.6349	1348034	3	Sugar Land, Texas, United States	US	USTX		29.6197	-95.6349	1348034	20191205031500	https://abc13.com/fugitive-in-sugar-land-clerks-killing-caught-across-state-lines/5734454/
890927811	20191105	201911	2019	2019.8356	PSE	WEST BANK	PSE								USA	UNITED STATES	USA								0	040	040	04	1	1.0	10	1	10	-5.7315233785822	1	West Bank	WE	WE		31.666667	35.25	WE	1	United States	US	US		39.828175	-98.5795	US	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20191205031500	https://www.wionews.com/world/netanyahu-pushes-pompeo-for-more-pressure-on-iran-in-portugal-266280
890927812	20191105	201911	2019	2019.8356	USA	UNITED STATES	USA								COP	STATE PRISON						COP			1	173	173	17	4	-5.0	2	1	2	-7.03812316715542	3	Lackawanna County, Pennsylvania, United States	US	USPA	PA069	41.6254	-75.6249	1213675	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20191205031500	https://www.thetimes-tribune.com/news/noting-cooperation-in-massive-burglary-spree-judge-sentences-woman-to-time-served-1.2567569
890927813	20191105	201911	2019	2019.8356	USA	UNITED STATES	USA								PSE	WEST BANK	PSE								0	040	040	04	1	1.0	10	1	10	-5.7315233785822	1	United States	US	US		39.828175	-98.5795	US	1	West Bank	WE	WE		31.666667	35.25	WE	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20191205031500	https://www.wionews.com/world/netanyahu-pushes-pompeo-for-more-pressure-on-iran-in-portugal-266280
890927814	20191128	201911	2019	2019.8986											GBR	UNITED KINGDOM	GBR								1	190	190	19	4	-10.0	2	1	2	-2.64227642276423	0								4	Merseyside, United Kingdom (general), United Kingdom	UK	UK00	40121	53.4	-3.08333	-2602923	4	Merseyside, United Kingdom (general), United Kingdom	UK	UK00	40121	53.4	-3.08333	-2602923	20191205031500	https://www.liverpoolecho.co.uk/news/liverpool-news/dan-carden-apologises-any-slow-17365841
