890994762	20091207	200912	2009	2009.9233	COD	DEMOCRATIC REPUBLIC OF CONGO	COD								REF	REFUGEE						REF			0	073	073	07	2	7.4	8	1	8	-1.8018018018018	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20191205110000	https://www.msn.com/en-gb/news/world/we-e2-80-99ve-become-like-a-family-innovative-groups-help-refugees-settle-in-us-cities/ar-BBXN1GE
890994763	20091207	200912	2009	2009.9233	COD	DEMOCRATIC REPUBLIC OF CONGO	COD								REF	REFUGEE						REF			0	073	073	07	2	7.4	2	1	2	-1.8018018018018	1	Congo	CF	CF		-1	15	CF	1	Pakistan	PK	PK		30	70	PK	1	Congo	CF	CF		-1	15	CF	20191205110000	https://www.msn.com/en-gb/news/world/we-e2-80-99ve-become-like-a-family-innovative-groups-help-refugees-settle-in-us-cities/ar-BBXN1GE
890994764	20181205	201812	2018	2018.9178	BGD	BANGLADESH	BGD								NLD	DUTCH	NLD								0	036	036	03	1	4.0	2	1	2	-1.16788321167883	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191205110000	http://www.dhakacourier.com.bd/news/Reportage/The-migrant-crisis-to-come/1945
890994765	20181205	201812	2018	2018.9178	BGD	BANGLADESH	BGD								NLD	DUTCH	NLD								0	036	036	03	1	4.0	2	1	2	-1.16788321167883	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20191205110000	http://www.dhakacourier.com.bd/news/Reportage/The-migrant-crisis-to-come/1945
890994766	20181205	201812	2018	2018.9178	BGD	BANGLADESH	BGD								NLD	NETHERLANDS	NLD								0	042	042	04	1	1.9	2	1	2	-1.16788321167883	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	1	Netherlands	NL	NL		52.5	5.75	NL	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191205110000	http://www.dhakacourier.com.bd/news/Reportage/The-migrant-crisis-to-come/1945
890994767	20181205	201812	2018	2018.9178	GBR	UNITED KINGDOM	GBR																		1	173	173	17	4	-5.0	4	1	4	-7.36	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	0								4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	20191205110000	http://www.dhakacourier.com.bd/news/World_this_week/Terror-returned-to-London-Bridge/1930
890994768	20181205	201812	2018	2018.9178	GOV	PRESIDENT						GOV													0	0256	025	02	1	-0.3	10	1	10	-2.55681818181818	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	0								4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	20191205110000	https://allafrica.com/stories/201912050252.html
890994769	20181205	201812	2018	2018.9178	NLD	NETHERLANDS	NLD								BGD	BANGLADESH	BGD								0	043	043	04	1	2.8	2	1	2	-1.16788321167883	1	Netherlands	NL	NL		52.5	5.75	NL	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20191205110000	http://www.dhakacourier.com.bd/news/Reportage/The-migrant-crisis-to-come/1945
890994770	20181205	201812	2018	2018.9178	NLD	THE NETHERLAND	NLD								NLDGOV	MARK RUTTE	NLD					GOV			0	040	040	04	1	1.0	2	1	2	-1.16788321167883	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	1	Netherlands	NL	NL		52.5	5.75	NL	20191205110000	http://www.dhakacourier.com.bd/news/Reportage/The-migrant-crisis-to-come/1945
890994771	20181205	201812	2018	2018.9178	NLD	THE NETHERLAND	NLD								NLDGOV	MARK RUTTE	NLD					GOV			0	040	040	04	1	1.0	2	1	2	-1.16788321167883	1	Netherlands	NL	NL		52.5	5.75	NL	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	1	Netherlands	NL	NL		52.5	5.75	NL	20191205110000	http://www.dhakacourier.com.bd/news/Reportage/The-migrant-crisis-to-come/1945
